Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
159,7.435,0,0.08493006,15,165.8158,2,2007,2,1,1,3009.045
1363,14.65,0,0.072066634,9,262.5594,8,1997,3,0,1,3547.4688
487,14.0,0,0.041256807,15,181.2634,1,1987,0,2,1,4595.3765
1511,18.2,0,0.058587558,9,221.6456,7,2002,2,1,1,4370.779
1515,17.6,0,0.015711434,9,180.0976,9,1999,1,0,1,3630.458
257,12.695633368756642,0,0.032714163,0,108.1938,5,1985,1,2,3,2475.5247
1213,7.71,1,0.047782552,4,122.3756,3,2009,1,2,2,1682.7233
61,7.81,0,0.067560171,14,245.2486,9,1999,1,0,1,3486.9873
1311,16.35,0,0.029505077,9,256.2646,7,2002,2,1,1,2286.842
14,13.0,1,0.045076104,14,173.7054,7,2002,2,1,1,2486.9343
1023,12.695633368756642,0,0.299544153,13,124.8704,4,1985,3,0,0,497.01797
228,13.35,0,0.139452413,5,148.6392,8,1997,3,0,1,2925.7888
139,12.695633368756642,0,0.246178257,7,252.4382,4,1985,3,0,0,262.91754
153,16.1,0,0.065128984,4,145.176,1,1987,0,2,1,1952.5004
11,17.85,0,0.024816585,14,152.6998,6,2004,3,1,1,3136.8328
1072,5.34,1,0.005988175,13,100.6358,3,2009,1,2,2,1599.1602
1323,5.51,0,0.034473804,8,97.3726,8,1997,3,0,1,1624.6808
1004,6.61,1,0.028987582,13,188.6898,1,1987,0,2,1,4145.5156
1175,6.38,0,0.032078604,4,177.6344,2,2007,2,1,1,2455.0024
1052,16.1,1,0.013593151,6,108.9596,6,2004,3,1,1,1437.0289
956,13.65,0,0.015911432,1,230.5668,8,1997,3,0,1,4286.6465
205,19.2,1,0.005588601,15,225.5062,8,1997,3,0,1,3517.4148
851,8.71,0,0.139510771,3,46.2376,7,2002,2,1,1,789.6128
190,17.75,1,0.262504325,4,242.2538,0,1998,2,2,0,391.00095
671,19.35,1,0.0,10,165.7816,7,2002,2,1,1,2243.9414
1107,12.695633368756642,0,0.056783774,4,223.1404,5,1985,1,2,3,4810.8677
779,12.695633368756642,0,0.041536279,5,107.7912,5,1985,1,2,3,2918.4934
985,6.44,0,0.079538056,1,99.47,3,2009,1,2,2,2057.9907
1478,12.6,0,0.064057374,8,122.1414,1,1987,0,2,1,1731.8862
1223,7.935,0,0.017156262,4,48.135,8,1997,3,0,1,576.3971
682,18.25,0,0.054540968,13,140.4154,2,2007,2,1,1,2041.4088
146,18.5,1,0.045648973,4,145.6102,3,2009,1,2,2,2327.243
1230,6.035,1,0.065917194,0,185.724,7,2002,2,1,1,3857.3748
1484,11.8,0,0.058687359,8,81.1618,1,1987,0,2,1,928.5905
940,6.26,1,0.009908113,10,151.1366,3,2009,1,2,2,2576.5608
575,16.5,1,0.094395215,0,97.2068,2,2007,2,1,1,1885.9003
1221,15.7,1,0.02777326,3,169.279,2,2007,2,1,1,3330.9863
398,6.635,1,0.006326106,0,122.1098,8,1997,3,0,1,2660.2842
3,12.695633368756642,0,0.143990546,14,191.553,4,1985,3,0,0,619.512
1278,12.695633368756642,0,0.09233359,9,250.6066,5,1985,1,2,3,7184.5874
1115,12.695633368756642,0,0.083661793,3,248.6092,4,1985,3,0,0,1135.4469
625,14.0,1,0.042022999,13,53.064,9,1999,1,0,1,887.1582
504,12.695633368756642,1,0.072044336,4,48.8692,5,1985,1,2,3,1043.1395
969,17.75,0,0.0,4,249.775,3,2009,1,2,2,4882.9775
211,17.75,0,0.024404214,6,159.0262,0,1998,2,2,0,258.15637
744,8.155,0,0.119450639,10,190.653,8,1997,3,0,1,3158.2493
710,17.25,0,0.121917641,3,76.6986,0,1998,2,2,0,200.38173
332,12.695633368756642,1,0.131905128,5,232.0668,5,1985,1,2,3,6472.557
702,6.175,1,0.179043614,10,95.3752,6,2004,3,1,1,1494.5212
114,12.695633368756642,0,0.0152302,7,107.0938,5,1985,1,2,3,2477.1575
883,8.18,1,0.082401592,5,55.9588,8,1997,3,0,1,967.77423
1123,8.355,0,0.013917468,0,92.5462,1,1987,0,2,1,1160.4626
1204,6.905,1,0.038140213,4,96.3726,6,2004,3,1,1,1295.4523
603,20.35,0,0.054166556,13,116.9466,7,2002,2,1,1,1699.071
908,12.695633368756642,0,0.03229139,0,178.766,5,1985,1,2,3,5071.0024
1409,19.25,0,0.108641498,9,33.0558,2,2007,2,1,1,617.6513
695,5.48,0,0.015105338,5,84.625,6,2004,3,1,1,2050.4893
275,5.425,1,0.114650377,0,87.3514,9,1999,1,0,1,2159.6428
180,12.1,0,0.115342009,0,220.2114,3,2009,1,2,2,3935.4592
1230,12.695633368756642,1,0.0,0,186.424,5,1985,1,2,3,4233.3037
554,11.0,0,0.00896468,10,120.6756,7,2002,2,1,1,1585.2428
1074,5.765,0,0.082346376,0,38.8164,3,2009,1,2,2,800.84393
620,13.8,0,0.013318,3,110.1254,3,2009,1,2,2,1610.3765
620,13.8,0,0.01325293,3,108.2254,1,1987,0,2,1,1601.0511
1105,5.44,1,0.017131453,0,177.837,3,2009,1,2,2,2674.3574
327,12.8,0,0.022925594,6,116.4492,1,1987,0,2,1,2048.1736
1386,6.13,0,0.028316137,9,109.3912,6,2004,3,1,1,2085.509
1201,8.195,0,0.052562923,0,93.9462,0,1998,2,2,0,94.08509
85,14.15,0,0.1837926,14,81.3276,9,1999,1,0,1,1160.8605
931,12.695633368756642,0,0.111296158,5,151.2708,4,1985,3,0,0,434.3022
783,16.75,0,0.029860799,13,39.5822,3,2009,1,2,2,294.28592
859,14.3,0,0.130617879,0,76.5328,9,1999,1,0,1,1030.6808
267,12.695633368756642,0,0.238990225,3,94.7094,4,1985,3,0,0,443.0115
1026,5.635,0,0.103186396,0,151.805,1,1987,0,2,1,2886.7666
45,5.73,0,0.0,14,188.3898,0,1998,2,2,0,1270.8541
801,7.155,1,0.168186376,1,36.5874,8,1997,3,0,1,769.1667
131,15.2,0,0.050255855,14,97.3752,9,1999,1,0,1,1388.0536
1525,15.25,0,0.061173235,9,128.5968,6,2004,3,1,1,2260.7778
349,10.395,1,0.029881147,4,89.5514,6,2004,3,1,1,1475.7529
1269,8.76,0,0.050154219,8,126.9336,7,2002,2,1,1,2033.8673
1306,9.13,0,0.051837621,9,152.6024,6,2004,3,1,1,2112.0818
507,12.695633368756642,0,0.11013617,6,189.7846,5,1985,1,2,3,5367.7085
1272,19.6,0,0.024086626,9,106.0964,2,2007,2,1,1,1584.0144
1284,12.695633368756642,0,0.013115567,9,53.7614,5,1985,1,2,3,1563.0564
603,20.35,0,0.0,13,118.9466,9,1999,1,0,1,2037.9812
623,10.0,0,0.038764258,6,246.2144,7,2002,2,1,1,4828.432
1329,11.3,0,0.07986963,9,180.466,0,1998,2,2,0,695.22845
121,6.57,0,0.066057085,7,259.3278,6,2004,3,1,1,5315.958
1321,13.15,0,0.093044518,9,158.4604,3,2009,1,2,2,2483.35
878,4.635,0,0.140771867,1,129.4994,1,1987,0,2,1,2484.125
717,10.6,1,0.033186809,2,49.1008,3,2009,1,2,2,445.63812
888,9.3,0,0.11139344,1,65.2826,9,1999,1,0,1,964.23157
108,7.02,0,0.049966527,4,82.525,7,2002,2,1,1,1394.1906
83,13.8,0,0.097212998,4,58.293,9,1999,1,0,1,1040.9148
1010,7.825,1,0.150863781,5,158.0288,2,2007,2,1,1,1894.5707
1394,19.1,0,0.091900406,11,182.5608,6,2004,3,1,1,2975.0232
430,7.51,0,0.017414576,6,231.101,1,1987,0,2,1,3396.1172
875,8.85,0,0.053866912,6,183.0292,8,1997,3,0,1,3511.7888
1040,17.35,0,0.014714625,5,75.4038,9,1999,1,0,1,1056.7051
1240,17.75,0,0.127140836,0,110.5544,0,1998,2,2,0,112.220184
879,12.695633368756642,1,0.061923154,0,87.5514,5,1985,1,2,3,2307.6406
564,16.6,0,0.122417514,6,174.3738,9,1999,1,0,1,2543.6091
898,15.15,0,0.0,0,150.4708,7,2002,2,1,1,2285.9846
553,5.46,1,0.053858378,3,186.924,0,1998,2,2,0,453.41763
290,9.5,1,0.048784266,15,188.5898,7,2002,2,1,1,3691.182
1327,13.5,0,0.073080167,9,161.492,2,2007,2,1,1,2399.265
1426,8.275,0,0.184602443,9,106.5306,0,1998,2,2,0,167.83952
646,10.8,1,0.080582001,0,39.4138,0,1998,2,2,0,-62.89059
1026,5.635,0,0.103856487,0,151.305,2,2007,2,1,1,2493.9802
430,7.51,0,0.017500079,6,228.801,3,2009,1,2,2,2379.4253
869,12.695633368756642,0,0.173275373,0,127.6362,5,1985,1,2,3,3306.029
843,12.695633368756642,0,0.083393481,10,180.6292,5,1985,1,2,3,4907.5444
732,12.695633368756642,1,0.0450476,0,36.4874,5,1985,1,2,3,845.2589
48,12.695633368756642,0,0.051816577,14,236.4564,5,1985,1,2,3,6193.112
239,15.5,1,0.026297031,6,102.7332,6,2004,3,1,1,1444.8649
385,4.905,0,0.117808305,3,198.5768,3,2009,1,2,2,2600.3503
406,9.285,1,0.049270974,5,243.9144,6,2004,3,1,1,3498.654
1294,8.97,0,0.093540749,9,55.4956,2,2007,2,1,1,883.59845
1388,18.75,0,0.087105823,8,108.228,0,1998,2,2,0,202.21643
1396,8.895,0,0.0,9,110.9544,9,1999,1,0,1,2042.5776
373,16.35,0,0.068068082,6,199.1426,6,2004,3,1,1,3239.057
361,10.195,1,0.01761655,15,239.4538,1,1987,0,2,1,4014.9434
87,9.5,0,0.040898157,7,225.2088,9,1999,1,0,1,3204.9253
1318,12.1,0,0.079791176,9,169.5106,6,2004,3,1,1,3000.8894
637,12.5,0,0.031049674,6,101.399,8,1997,3,0,1,2030.8844
954,15.2,0,0.019112323,13,236.2248,3,2009,1,2,2,3077.6436
1026,5.635,0,0.103272336,0,151.205,8,1997,3,0,1,1998.4736
496,12.695633368756642,1,0.054001526,3,227.8352,4,1985,3,0,0,171.72142
866,8.895,1,0.081073148,13,51.2008,6,2004,3,1,1,753.9925
1276,12.695633368756642,0,0.019774239,9,154.5972,5,1985,1,2,3,3576.1785
770,12.695633368756642,1,0.153038134,6,219.0456,4,1985,3,0,0,682.97797
248,6.89,1,0.13720009,13,191.882,2,2007,2,1,1,2442.728
1246,16.25,0,0.02573698,6,169.3474,8,1997,3,0,1,2408.2947
1234,12.695633368756642,0,0.070354806,5,53.9298,4,1985,3,0,0,275.12308
896,12.695633368756642,1,0.047028483,13,118.3782,5,1985,1,2,3,3435.1677
20,13.85,0,0.030857538,14,140.6154,7,2002,2,1,1,1982.4069
1043,16.75,0,0.045302246,13,189.1556,2,2007,2,1,1,3546.6816
591,18.0,0,0.073341257,3,155.7972,7,2002,2,1,1,2051.0393
186,9.21,0,0.00880049,6,123.0414,3,2009,1,2,2,1355.8029
664,20.85,0,0.039562497,10,118.1808,8,1997,3,0,1,1497.8499
623,10.0,0,0.038745948,6,245.0144,9,1999,1,0,1,4937.129
695,5.48,0,0.015193653,5,82.825,2,2007,2,1,1,2044.5066
577,19.25,1,0.027075481,10,195.611,6,2004,3,1,1,2886.0408
353,18.5,0,0.052068722,13,117.0124,8,1997,3,0,1,1911.3
465,12.695633368756642,1,0.114010306,3,112.2202,5,1985,1,2,3,3210.335
1280,12.695633368756642,0,0.111641021,9,38.8848,4,1985,3,0,0,33.348236
814,15.7,1,0.008771522,10,205.798,3,2009,1,2,2,2993.4348
198,20.25,1,0.103304968,3,92.612,2,2007,2,1,1,1405.3986
847,10.8,0,0.028919203,13,240.9222,1,1987,0,2,1,5090.156
1393,18.5,0,0.034136703,11,130.0284,2,2007,2,1,1,2279.3079
641,12.695633368756642,1,0.045393469,10,102.2674,4,1985,3,0,0,691.2495
951,12.695633368756642,1,0.047199898,5,244.9144,5,1985,1,2,3,5187.0894
591,18.0,0,0.07319282,3,154.2972,8,1997,3,0,1,2765.1663
1540,10.5,0,0.011287929,9,238.9248,8,1997,3,0,1,3469.6602
84,12.695633368756642,0,0.036628533,7,145.6128,4,1985,3,0,0,920.83185
1089,14.0,1,0.105057952,5,141.1812,1,1987,0,2,1,2015.313
669,15.6,1,0.0,13,169.2132,8,1997,3,0,1,4346.8696
860,11.6,0,0.017741644,3,178.3686,6,2004,3,1,1,2637.386
1319,16.25,0,0.039225553,9,116.2176,7,2002,2,1,1,1789.6036
241,20.5,0,0.141766029,15,87.4172,6,2004,3,1,1,1189.0521
1132,5.035,1,0.080236064,1,226.4036,3,2009,1,2,2,3661.7285
1261,17.6,0,0.082332074,8,160.392,8,1997,3,0,1,2762.3262
818,12.695633368756642,0,0.136085739,13,259.8962,4,1985,3,0,0,952.06964
270,8.68,0,0.008885672,5,96.9384,2,2007,2,1,1,1572.4882
1189,17.5,0,0.0,13,255.2356,1,1987,0,2,1,5142.5864
159,7.435,0,0.141355941,15,168.5158,0,1998,2,2,0,294.16513
316,8.71,0,0.121227447,3,95.2778,6,2004,3,1,1,1595.0586
1072,5.34,1,0.005975976,13,100.8358,7,2002,2,1,1,2142.442
1034,10.695,1,0.011425458,13,73.6038,8,1997,3,0,1,1299.5444
907,14.8,1,0.043961689,1,109.157,9,1999,1,0,1,2042.577
1506,18.0,0,0.01949589,8,127.8994,2,2007,2,1,1,1946.141
1361,12.15,0,0.029523375,9,117.215,8,1997,3,0,1,1793.8833
401,12.695633368756642,1,0.062751586,5,244.2486,4,1985,3,0,0,-246.64642
411,21.2,1,0.0,15,173.0738,2,2007,2,1,1,5014.1074
280,8.3,0,0.059175953,6,37.8506,0,1998,2,2,0,314.53326
1410,9.06,0,0.009831566,11,211.156,2,2007,2,1,1,3301.0632
509,5.095,1,0.216762584,13,142.2838,0,1998,2,2,0,127.58103
1085,11.15,0,0.057254675,0,104.0622,2,2007,2,1,1,1296.54
1072,5.34,1,0.0,13,101.0358,0,1998,2,2,0,348.10306
1168,19.75,0,0.041598912,6,118.0466,2,2007,2,1,1,1953.2809
27,19.6,0,0.024206741,4,47.0718,1,1987,0,2,1,627.9001
1280,10.695,0,0.063862271,9,38.1848,9,1999,1,0,1,645.9319
459,9.42,1,0.073484791,5,63.6194,0,1998,2,2,0,243.38869
689,13.5,1,0.125983278,13,264.691,2,2007,2,1,1,3893.6833
991,19.35,1,0.058161092,6,239.4564,7,2002,2,1,1,4125.096
1111,9.0,0,0.1092139,13,175.037,0,1998,2,2,0,1108.6007
451,12.695633368756642,1,0.138195491,5,83.1276,4,1985,3,0,0,191.17656
1103,20.75,0,0.007595816,13,104.4622,2,2007,2,1,1,1580.6799
265,15.0,0,0.11956313,13,227.2694,2,2007,2,1,1,5571.231
1458,17.85,0,0.018020588,8,94.4094,6,2004,3,1,1,1669.9747
61,7.81,0,0.067442541,14,244.7486,6,2004,3,1,1,3341.0247
269,12.695633368756642,1,0.008239804,4,152.2708,5,1985,1,2,3,4432.049
1164,12.1,0,0.030127406,3,74.567,8,1997,3,0,1,1490.7555
1181,17.6,1,0.016014343,1,44.0402,1,1987,0,2,1,598.52295
487,14.0,0,0.041524729,15,181.7634,2,2007,2,1,1,4924.572
1487,15.1,0,0.055926872,9,141.4496,9,1999,1,0,1,1983.107
1179,14.5,1,0.097597084,13,158.5262,3,2009,1,2,2,3568.7551
243,12.695633368756642,0,0.177107232,4,157.5288,5,1985,1,2,3,5033.2085
958,20.25,1,0.0,3,186.4924,9,1999,1,0,1,3037.1091
1491,9.0,0,0.019506654,9,169.5474,8,1997,3,0,1,3507.075
1498,11.8,0,0.022936556,8,177.6686,3,2009,1,2,2,1375.9377
1528,20.25,0,0.02610006,9,182.8976,2,2007,2,1,1,2460.3594
800,7.51,0,0.103974431,13,112.1544,9,1999,1,0,1,1827.0847
424,12.695633368756642,1,0.086360962,13,153.7972,5,1985,1,2,3,3783.1685
557,17.85,0,0.011298801,13,213.256,2,2007,2,1,1,4442.0923
1282,9.1,0,0.055541153,9,115.6518,7,2002,2,1,1,1544.7977
1518,12.695633368756642,0,0.088720803,8,144.4102,5,1985,1,2,3,3300.1658
1481,5.88,0,0.024866609,9,148.3392,1,1987,0,2,1,2225.3904
134,15.0,0,0.064129493,7,45.906,6,2004,3,1,1,586.04285
492,16.1,0,0.100213917,6,79.0328,6,2004,3,1,1,1329.8043
177,21.25,0,0.155621254,13,178.237,9,1999,1,0,1,1747.0029
746,21.1,1,0.161832494,6,65.7168,7,2002,2,1,1,225.05507
1154,11.8,1,0.170283492,3,115.1834,8,1997,3,0,1,2044.9016
914,15.15,1,0.012313256,13,132.8284,3,2009,1,2,2,1702.3207
64,12.695633368756642,0,0.0,4,94.812,5,1985,1,2,3,1772.0946
170,5.985,0,0.005689466,0,186.6924,3,2009,1,2,2,2388.835
1306,9.13,0,0.052140695,9,153.4024,2,2007,2,1,1,2158.8132
399,9.0,1,0.050579228,3,151.3024,9,1999,1,0,1,3017.0288
406,12.695633368756642,1,0.04904165,5,245.5144,5,1985,1,2,3,5486.571
969,17.75,0,0.034806679,4,250.175,9,1999,1,0,1,4245.866
1191,12.695633368756642,1,0.095395258,1,131.131,4,1985,3,0,0,301.88272
499,7.325,0,0.093530571,6,90.4146,9,1999,1,0,1,1706.8234
16,12.1,1,0.061124626,14,56.4614,1,1987,0,2,1,1027.4438
625,14.0,1,0.0,13,54.864,8,1997,3,0,1,633.2106
447,12.85,0,0.121624114,13,42.2428,1,1987,0,2,1,1052.7323
143,7.535,0,0.081719458,14,118.444,1,1987,0,2,1,2781.2793
1444,16.35,0,0.01336643,11,105.228,8,1997,3,0,1,1700.3114
695,12.695633368756642,0,0.015035032,5,84.025,5,1985,1,2,3,2275.9058
962,12.695633368756642,0,0.059557164,6,149.2366,5,1985,1,2,3,4001.9844
1262,19.2,0,0.077443049,9,194.511,1,1987,0,2,1,3120.5286
996,18.85,0,0.055470721,0,132.1284,7,2002,2,1,1,1834.3016
1387,14.5,0,0.019514867,11,165.121,7,2002,2,1,1,2508.4524
836,6.46,1,0.08228859,6,144.4102,0,1998,2,2,0,834.9417
110,14.15,0,0.036090136,14,41.1138,3,2009,1,2,2,439.69
1333,20.25,0,0.098645981,9,244.746,0,1998,2,2,0,1220.6245
25,15.7,0,0.03744271,14,181.1634,2,2007,2,1,1,2903.0388
1314,20.25,0,0.147933567,9,235.3616,8,1997,3,0,1,3164.3145
433,9.6,0,0.084937598,0,105.028,6,2004,3,1,1,1251.9509
630,20.5,0,0.020601136,6,91.683,6,2004,3,1,1,1208.6648
628,12.35,1,0.158439388,10,156.0946,6,2004,3,1,1,2469.9814
1492,12.695633368756642,0,0.0,8,165.7842,5,1985,1,2,3,4267.5757
1441,15.75,0,0.135072801,9,99.17,8,1997,3,0,1,1375.494
867,19.2,0,0.035156307,13,179.1318,1,1987,0,2,1,2748.3003
211,12.695633368756642,0,0.014509564,6,157.4262,5,1985,1,2,3,5133.2646
472,9.395,1,0.100315391,0,85.8856,1,1987,0,2,1,1882.2429
1511,18.2,0,0.058420325,9,221.4456,1,1987,0,2,1,4453.677
1271,19.0,0,0.027096298,9,128.6336,3,2009,1,2,2,1994.112
1058,4.805,1,0.037912667,4,125.8704,2,2007,2,1,1,2434.5266
1288,8.85,0,0.016110572,9,104.2964,2,2007,2,1,1,1560.8132
644,11.65,1,0.076158144,13,82.9908,3,2009,1,2,2,778.0972
188,9.395,0,0.104338095,13,236.8932,2,2007,2,1,1,2862.4312
572,9.695,0,0.129998012,6,185.1898,8,1997,3,0,1,3335.4617
761,18.7,1,0.0,5,231.201,7,2002,2,1,1,3127.229
1071,20.75,0,0.024247803,6,123.973,3,2009,1,2,2,1334.5708
902,8.89,0,0.005483027,5,100.4016,9,1999,1,0,1,1580.4956
1478,12.6,0,0.064371885,8,119.8414,3,2009,1,2,2,2335.6135
1373,12.6,0,0.082684949,9,176.6054,1,1987,0,2,1,3300.6772
237,13.1,1,0.098984923,5,198.2768,7,2002,2,1,1,2718.7341
375,9.3,1,0.014016743,13,196.8084,6,2004,3,1,1,2753.1594
725,12.695633368756642,1,0.060880827,10,124.4388,5,1985,1,2,3,3795.2224
294,17.7,1,0.068511767,6,83.2276,0,1998,2,2,0,212.30115
1210,17.85,0,0.0,13,127.502,7,2002,2,1,1,2285.0828
1234,8.935,0,0.04017515,5,54.1298,6,2004,3,1,1,1089.5187
309,11.15,0,0.120441348,4,43.7744,3,2009,1,2,2,459.07574
1528,12.695633368756642,0,0.045440803,9,179.5976,4,1985,3,0,0,411.5929
764,11.1,0,0.135906738,13,217.9482,2,2007,2,1,1,3396.75
1047,10.0,0,0.025973288,3,264.3226,2,2007,2,1,1,4770.2856
1172,12.695633368756642,1,0.23372937,0,52.4298,4,1985,3,0,0,111.47971
1422,12.8,0,0.091552173,11,107.1938,2,2007,2,1,1,1760.6082
822,9.895,1,0.028883289,3,116.6492,2,2007,2,1,1,1743.0707
901,13.35,0,0.03236252,10,62.0194,2,2007,2,1,1,1050.0298
743,7.785,0,0.139835844,4,104.7306,7,2002,2,1,1,1060.7147
1269,12.695633368756642,0,0.049810328,8,129.2336,5,1985,1,2,3,3847.3618
373,16.35,0,0.068466049,6,197.1426,2,2007,2,1,1,3235.524
666,11.5,0,0.073178424,6,189.153,3,2009,1,2,2,2268.3694
126,15.2,0,0.113535259,14,36.0848,2,2007,2,1,1,736.0821
658,19.35,0,0.026222599,6,169.0474,9,1999,1,0,1,2476.1301
112,19.5,1,0.0,14,233.1958,8,1997,3,0,1,2997.9753
1052,16.1,1,0.01361686,6,107.2596,9,1999,1,0,1,1388.2405
66,12.695633368756642,0,0.023770288,14,107.728,5,1985,1,2,3,1970.2439
146,18.5,1,0.045720935,4,145.6102,2,2007,2,1,1,2474.9487
384,12.695633368756642,0,0.097145513,15,223.8746,5,1985,1,2,3,5285.7554
1129,15.1,1,0.099858247,6,146.4786,8,1997,3,0,1,2670.0933
1150,17.25,1,0.047339698,13,96.5068,9,1999,1,0,1,1648.2649
1256,19.0,0,0.129596025,9,190.5872,7,2002,2,1,1,3075.2334
717,10.6,1,0.033024663,2,49.3008,1,1987,0,2,1,579.982
578,12.695633368756642,0,0.195963464,5,105.1622,4,1985,3,0,0,228.13385
126,15.2,0,0.112875322,14,37.2848,6,2004,3,1,1,800.19214
825,5.845,1,0.104930609,5,212.3218,1,1987,0,2,1,2718.6665
1274,6.57,0,0.097275225,9,192.682,3,2009,1,2,2,3050.441
1297,21.1,0,0.010623794,9,235.4958,7,2002,2,1,1,2809.6963
1172,4.88,1,0.134248297,0,54.9298,2,2007,2,1,1,693.44037
